dl,cs,cs0,cs1,cs2,cs3,cs4,cs5,t0,t1,t2,t3,t4,t5
(0.06760267463237031+0j),(0.0021177351981843994+0j),(0.0014861773329788444-0.3630345190164289j),(0.000631533963118981-0.4098969736322042j),(2.390203237382523e-08-0.003255507210305645j),(5.419999249291791e-14-5.80049260512932e-06j),(4.015786990949164e-20-5.661386868514855e-09j),(1.1021041227971556e-26-3.2788677513618637e-12j),(-1.6758615801377445e-05+0.004093694535523366j),(-2.373793673782472e-06+0.0015407102384569482j),(-5.390540799355935e-11+7.342030236293879e-06j),(-8.73109468231448e-17+9.34403268525666e-09j),(-5.0314790711037527e-23+7.093291951628491e-12j),(-1.1297892896836762e-29+3.361233835489099e-15j)
(0.06832064602309978+0j),(0.0022714049858126584+0j),(0.001612559421760687-0.374181222299831j),(0.0006588185057068435-0.41425821705845345j),(2.7058283571883377e-08-0.0034273880863902985j),(6.155597637816407e-14-6.1166311322860395e-06j),(4.755657622340913e-20-6.096136792950287e-09j),(1.361368721850369e-26-3.6058892629873266e-12j),(-1.857203141840313e-05+0.004309487962397868j),(-2.5292293774107542e-06+0.0015903530992862906j),(-6.23266697454647e-11+7.894724171342536e-06j),(-1.0127817500716702e-16+1.0063705828727657e-08j),(-6.085717013685017e-23+7.801100572153275e-12j),(-1.4253672162430225e-29+3.775403576100206e-15j)
(0.06903861741382927+0j),(0.0024371118490148676+0j),(0.0017501005808285201-0.3857581165231088j),(0.0006869803220975898-0.41862024610605236j),(3.094601893845341e-08-0.003627232826067748j),(6.981894317910623e-14-6.446495634153546e-06j),(5.621913507026926e-20-6.559207531146091e-09j),(1.6779142443727863e-26-3.9615875715608065e-12j),(-2.0581969675163703e-05+0.004536688887028512j),(-2.6930658179948704e-06+0.0016410541019087j),(-7.278781920714048e-11+8.531577767438003e-06j),(-1.1730030890845329e-16+1.0830526714267098e-08j),(-7.346247828113258e-23+8.571025509303573e-12j),(-1.7939114457720168e-29+4.235459179087926e-15j)
(0.06975658880455875+0j),(0.002615949356285401+0j),(0.0018998751086089036-0.3977887176903289j),(0.0007160382961319925-0.4229831026011569j),(3.595146541524365e-08-0.0038693515464783587j),(7.908982158646611e-14-6.790538346938774e-06j),(6.634486568690755e-20-7.052121765870084e-09j),(2.0635949837775846e-26-4.3481394349343085e-12j),(-2.2810524767812463e-05+0.004775982040143397j),(-2.8656636804897272e-06+0.0016928247010430221j),(-8.632902116329407e-11+9.291341192521206e-06j),(-1.356540547627974e-16+1.1647062065722727e-08j),(-8.850647282087721e-23+9.407787881371328e-12j),(-2.252381761827695e-29+4.745926423605506e-15j)
(0.07047456019528822+0j),(0.002809128545801813+0j),(0.0020630741665397293-0.4102982636441622j),(0.0007460115384974297-0.4273468299000364j),(4.284067517445516e-08-0.004180814553783077j),(8.947960964262894e-14-7.149222427386538e-06j),(7.816196796301836e-20-7.576467177950997e-09j),(2.532556393681692e-26-4.767861746084748e-12j),(-2.528246085944879e-05+0.005028103186751609j),(-3.0473952946301255e-06+0.001745676375509517j),(-1.0500036410297066e-10+1.0246968531812009e-05j),(-1.5665005201595306e-16+1.25159918510661e-08j),(-1.0642838664813926e-22+1.031641345856879e-11j),(-2.821440800074518e-29+5.311723637459425e-15j)
(0.0711925315860177+0j),(0.0030179931538649864+0j),(0.0022410203844596146-0.42331387544081206j),(0.0007769193888251493-0.4317114729377088j),(5.33804791123134e-08-0.004619786678809168j),(1.0111027096254805e-13-7.5230222017526576e-06j),(9.193134583753757e-20-8.133898526635955e-09j),(3.101647283408385e-26-5.223218974861553e-12j),(-2.8025568702612265e-05+0.005293843903073753j),(-3.2386448986809906e-06+0.0017996206294272723j),(-1.3351224246906954e-10+1.1554749778824464e-05j),(-1.8063664627638725e-16+1.3440113328256842e-08j),(-1.277408306481871e-22+1.1302248919935675e-11j),(-3.52621144591982e-29+5.938191177387118e-15j)
(0.07191050297674718+0j),(0.0032440387036084153+0j),(0.0024351845666560727-0.4368647371944059j),(0.0008087814178963236-0.43607707827831865j),(7.271894190315657e-08-0.005338221304512321j),(1.141157022869524e-13-7.912423428401965e-06j),(1.0795089019875958e-19-8.72613977601902e-09j),(3.790900780791186e-26-5.716830923014182e-12j),(-3.107107573942091e-05+0.005574056900290246j),(-3.439808907598913e-06+0.001854668993463144j),(-1.85567515703021e-10+1.3622316824556154e-05j),(-2.0800404192090573e-16+1.442234522957018e-08j),(-1.5304111653750765e-22+1.2370978802726471e-11j),(-4.3971789427606123e-29+6.631122787854717e-15j)
(0.07262847436747666+0j),(0.003488946160632833+0j),(0.0026472048441839274-0.45098229690399916j),(0.0008416174299621412-0.44044369416733875j),(1.2388635812168942e-07-0.006898742686959948j),(1.2864277758114322e-13-8.317923575387133e-06j),(1.2656027105370464e-19-9.35498626824947e-09j),(4.624094655473382e-26-6.251480802341942e-12j),(-3.445411872298046e-05+0.005869661969541643j),(-3.6512961857301277e-06+0.00191083302613449j),(-3.224831882776498e-10+1.795781691001594e-05j),(-2.391888691507226e-16+1.546573209229756e-08j),(-1.8302418593530892e-22+1.352864316682604e-11j),(-5.471263451746893e-29+7.396798937207157e-15j)
(0.07334644575820612+0j),(0.0037549184558079087+0j),(0.0028789086835706774-0.46570049117475915j),(0.0008754474651834315-0.44481137058567144j),(5.623069089473132e-07-0.014553677972086572j),(1.4485247427581978e-13-8.740032114519141e-06j),(1.481462935491463e-19-1.0022306944246062e-08j),(5.629403095236392e-26-6.830123646017391e-12j),(-3.8214289624544735e-05+0.006181652634418505j),(-3.873528324177316e-06+0.0019681243151680326j),(-1.492798934472879e-09+3.8636756233468025e-05j),(-2.746792032886652e-16+1.657344874456325e-08j),(-2.184973540223678e-22+1.4781655997295018e-11j),(-6.793093050796934e-29+8.242022234134614e-15j)
(0.07406441714893561+0j),(0.004042756560553991+0j),(0.0031323382400743594-0.48105599721554954j),(0.0009102918021955518-0.44918015930572974j),(1.2651812115849965e-07+0.006836469529905507j),(1.62921087663665e-13-9.17927083361704e-06j),(1.7314887765668828e-19-1.0730046612663737e-08j),(6.840153721112602e-26-7.45589506334859e-12j),(-4.239626767832813e-05+0.006511103611125773j),(-4.106939922975253e-06+0.002026554478917288j),(-3.4248511620938885e-10-1.8506353398011527e-05j),(-3.150200773641835e-16+1.774880495594516e-08j),(-2.603971007067791e-22+1.613682436871577e-11j),(-8.416512054536956e-29+9.17415503168382e-15j)
(0.07478238853966508+0j),(0.004355950607158555+0j),(0.0034097796384321057-0.49708851605330984j),(0.0009461709608046311-0.4535501139495859j),(7.73877673198397e-12-5.29543877780941e-05j),(1.8304153992088146e-13-9.636174168820817e-06j),(2.020677270084901e-19-1.1480228267881168e-08j),(8.295705536893139e-26-8.132120348459788e-12j),(-4.705055295683992e-05+0.006859179193045358j),(-4.351978878223802e-06+0.0020861351678411553j),(-2.1357023799743257e-14+1.4614042493349607e-07j),(-3.608195325787368e-16+1.8995250263651084e-08j),(-3.098081693974203e-22+1.760136839559414e-11j),(-1.0406365168497243e-28+1.0201159330437516e-14j)
(0.07550035993039456+0j),(0.004696909430436878+0j),(0.0037137968795344775-0.5138410915683689j),(0.0009831057048215186-0.4579212900492776j),(6.845875456886514e-09-0.0015600215586242902j),(2.0542479072162502e-13-1.01112895590788e-05j),(2.3546975852184327e-19-1.227495545779919e-08j),(1.0042465660291623e-25-8.86232395358844e-12j),(-5.223431997384994e-05+0.007227142696091368j),(-4.609106674335345e-06+0.002146878066046372j),(-1.9257361709074403e-11+4.388321058070337e-06j),(-4.1275525511160414e-16+2.0316378986217106e-08j),(-3.6798526353250315e-22+1.9182941993669875e-11j),(-1.2840604462505241e-28+1.133163909701736e-14j)
(0.07621833132112404+0j),(0.005068403076181657+0j),(0.004047271212751252-0.5313604707470624j),(0.0010211170450401123-0.4622937451093606j),(1.4818159991443889e-08-0.0022735411992711664j),(2.303013569607433e-13-1.0605177825175345e-05j),(2.7399737111535513e-19-1.3116414702266503e-08j),(1.2135065104265732e-25-9.650239337918796e-12j),(-5.801241361882042e-05+0.007616367124731222j),(-4.878798681562876e-06+0.0022087948928966447j),(-4.247984290181211e-11+6.517656242853528e-06j),(-4.715818519503579e-16+2.1715935438068463e-08j),(-4.36377664193817e-22+2.0889654477607257e-11j),(-1.5812773574946416e-28+1.2574885118738228e-14j)
(0.07693630271185352+0j),(0.005473694865481523+0j),(0.0044134469871627245-0.5496975114968837j),(0.001060226242367142-0.46666753867181543j),(2.1635693732782825e-08-0.0027215682254071384j),(2.5792294970316814e-13-1.1118413575956748e-05j),(3.1837763903453362e-19-1.4006877962973434e-08j),(1.463771659849007e-25-1.0499819203094596e-11j),(-6.445851441316881e-05+0.008028347246668423j),(-5.161544458985056e-06+0.002271897404691473j),(-6.319798018963122e-11+7.949715729863378e-06j),(-5.381388230523132e-16+2.3197819359851756e-08j),(-5.166571287509481e-22+2.2730093021167953e-11j),(-1.9434932071010584e-28+1.394092252005246e-14j)
(0.07765427410258299+0j),(0.0059164676940297875+0j),(0.004815985208948781-0.5689076455099435j),(0.001100454811110807-0.4710427323834095j),(2.7673681634825572e-08-0.003049532252888124j),(2.88564237144385e-13-1.165158564474568e-05j),(3.6943252311053052e-19-1.494870516568392e-08j),(1.762578049654501e-25-1.141524612678208e-11j),(-7.165650587200777e-05+0.00846471329799031j),(-5.457848063134786e-06+0.0023361973964177996j),(-8.235072345659443e-11+9.074729938120074e-06j),(-6.133592922101631e-16+2.4766091581235882e-08j),(-6.107494708430399e-22+2.4713346006622415e-11j),(-2.3841092619911663e-28+1.5440561071383274e-14j)
(0.07837224549331248+0j),(0.006400884101965945+0j),(0.005259026297230295-0.5890514050368834j),(0.0011418245224360194-0.47541939006561734j),(3.328197710551046e-08-0.003313655790883171j),(3.2252474310463124e-13-1.2205297559314239e-05j),(4.2809020171528813e-19-1.594434677570489e-08j),(2.118756824127344e-25-1.2400943605884738e-11j),(-7.97020839470152e-05+0.008927246581383852j),(-5.7682283624686e-06+0.0024017067035777204j),(-1.0087962232031682e-10+1.0043884821628537e-05j),(-6.982795645610301e-16+2.6424979934921992e-08j),(-7.20870266463499e-22+2.684902729082562e-11j),(-2.9191254791931413e-28+1.708544842605292e-14j)
(0.07909021688404196+0j),(0.006931659957713589+0j),(0.005747263860388789-0.6101950241009215j),(0.0011843574079945063-0.4797975777872222j),(3.868897016231664e-08-0.0035402664013453296j),(3.601308914005363e-13-1.2780168049220149e-05j),(4.953976322952315e-19-1.6996346427526698e-08j),(2.5426416699951977e-25-1.3461587521243323e-11j),(-8.870465749431317e-05+0.009417897269457338j),(-6.093219357886366e-06+0.0024684372040957863j),(-1.1942698057450383e-10+1.0928265212751796e-05j),(-7.940495848065109e-16+2.8178885442943095e-08j),(-8.495651798398066e-22+2.914730141607979e-11j),(-3.5676131989469526e-28+1.888812642626831e-14j)
(0.07980818827477144+0j),(0.007514151534806982+0j),(0.006286031727017528-0.6324111267103288j),(0.0012280757637383936-0.4841773639397181j),(4.404364932196249e-08-0.003743340397867457j),(4.017382073544758e-13-1.337683159481218e-05j),(5.725344642120626e-19-1.810734360959992e-08j),(3.046307097750907e-25-1.4602118035893714e-11j),(-9.878959994637762e-05+0.009938804785351207j),(-6.433370509522809e-06+0.002536400820309498j),(-1.3843565179584675e-10+1.1765868084280152e-05j),(-9.019443769757779e-16+3.003238879902458e-08j),(-9.99755456600086e-22+3.1618909794616354e-11j),(-4.3522682522665145e-28+2.0862090624543155e-14j)
(0.08052615966550092+0j),(0.0081544585855307+0j),(0.00688140698329125-0.6557795171064662j),(0.0012730021539263435-0.48855881931563366j),(4.944786537248124e-08-0.003930989749336287j),(4.477336887284516e-13-1.399593902278173e-05j),(6.608284342452814e-19-1.9280076405252847e-08j),(3.643841811949262e-25-1.5827751939192935e-11j),(-0.00011010092651061819+0.010492321206320349j),(-6.789247070045526e-06+0.002605609521046802j),(-1.5823089099952084e-10+1.2578986086902386e-05j),(-1.0233765540497057e-15+3.1990257173860054e-08j),(-1.174789190828593e-21+3.4275197896271775e-11j),(-5.300057234963645e-28+2.3021853172504695e-14j)
(0.08124413105623038+0j),(0.008859546813111461+0j),(0.0075403324220173805-0.6803880901271431j),(0.001319159415331893-0.4929420171899225j),(5.4975263647855706e-08-0.004108249276563318j),(4.985383595240583e-13-1.4638158153802838e-05j),(7.617723875715596e-19-2.0517384290794985e-08j),(4.35166194812211e-25-1.7143995449369675e-11j),(-0.00012280448911293688+0.011081038226194807j),(-7.161430424708494e-06+0.0026760753237946733j),(-1.7906927143983063e-10+1.3381676703902425e-05j),(-1.1599099940737435e-15+3.4057451373726454e-08j),(-1.3784990375064614e-21+3.712814346969777e-11j),(-6.4429715781243585e-28+2.538300923477033e-14j)
(0.08196210244695988+0j),(0.009637393982413886+0j),(0.0082707626380147-0.7063338835174494j),(0.0013665706616640195-0.49732703340454576j),(6.068218055623517e-08-0.004278412201271164j),(5.546100213933567e-13-1.5304174508564792e-05j),(8.770430793892284e-19-2.1822210991891585e-08j),(5.18886955251149e-25-1.855665748729903e-11j),(-0.0001370918040684098+0.01170781832390933j),(-7.55051843842423e-06+0.0027478102969629363j),(-2.0116717094558386e-10+1.4183341316668496e-05j),(-1.313274788638655e-15+3.623913338697068e-08j),(-1.6152671130222263e-21+4.019038582823293e-11j),(-7.818906178778762e-28+2.7962307091473622e-14j)
(0.08268007383768934+0j),(0.010497164965919254+0j),(0.009081839063026537-0.7337242986712857j),(0.0014152592882106503-0.5017139464564101j),(6.661406562008717e-08-0.004443725662724027j),(6.164462188829707e-13-1.5994692079389335e-05j),(1.008521925664812e-18-2.3197607399343557e-08j),(6.177662347997845e-25-2.007186343455716e-11j),(-0.00015318465657963073+0.012375830923239834j),(-7.957125810134216e-06+0.002820826562247856j),(-2.2471776243930605e-10+1.4990589127476212e-05j),(-1.4853835799440698e-15+3.854067435767137e-08j),(-1.8900979044718334e-21+4.3475256232388486e-11j),(-9.472681776091139e-28+3.077772209909489e-14j)
(0.08339804522841882+0j),(0.011449422379191943+0j),(0.009984100592397311-0.7626785220815865j),(0.0014652489767163518-0.506102837588809j),(7.280939369087719e-08-0.004605777576380975j),(6.845874364148534e-13-1.671043417565001e-05j),(1.1583178858082508e-18-2.4646734545454457e-08j),(7.343801572542702e-25-2.1696069389059944e-11j),(-0.00017134066362872396+0.013088594500774757j),(-8.381884434773646e-06+0.0028951362971001843j),(-2.499015252891089e-10+1.5808273948368244e-05j),(-1.678349414246654e-15+4.096766303130618e-08j),(-2.2087000939444186e-21+4.6996809401750016e-11j),(-1.1457233003544355e-27+3.3848534685484326e-14j)
(0.08411601661914829+0j),(0.012506381214716662+0j),(0.010989738211320755-0.7933291870368933j),(0.0015165637005059682-0.5104937908865254j),(7.930213031602216e-08-0.004765723635242584j),(7.596205468285955e-13-1.7452144352409154e-05j),(1.3287926755052357e-18-2.6172866642221508e-08j),(8.717145503007375e-25-2.343607693185288e-11j),(-0.00019186002533205123+0.013850025814514963j),(-8.82544377314381e-06+0.002970751737302533j),(-2.768930148971964e-10+1.6640102608473503e-05j),(-1.8945052525344623e-15+4.3525914723696024e-08j),(-2.577578297551735e-21+5.076985618998477e-11j),(-1.3834987156119912e-27+3.719541256138976e-14j)
(0.08483398800987778+0j),(0.013682218165141624+0j),(0.012112904311096179-0.8258243242491067j),(0.0015692277298668949-0.5148868933747911j),(8.612333636502136e-08-0.004924426553856342j),(8.42182533515073e-13-1.8220587433083576e-05j),(1.5225885245231654e-18-2.7779394182641727e-08j),(1.0332257195897644e-24-2.5299048418877637e-11j),(-0.0002150937580268528+0.014664497696890634j),(-9.288471230025798e-06+0.003047685179661444j),(-3.0586540761481056e-10+1.7489008191468637e-05j),(-2.1364252940016555e-15+4.622148087201069e-08j),(-3.0041358212977937e-21+5.4809997457560547e-11j),(-1.6679462227656555e-27+4.0840497337393624e-14j)
(0.08555195940060725+0j),(0.01499344931499024+0j),(0.013370090374109706-0.8603296616926803j),(0.001623265637702983-0.5192822351222531j),(9.330224458367142e-08-0.005082544739995787j),(9.32964510712163e-13-1.901655063858042e-05j),(1.7426587121425325e-18-2.94698271064913e-08j),(1.2229095996774178e-24-2.7292522811811773e-11j),(-0.0002414537852737439+0.015536907200061437j),(-9.771652540887219e-06+0.003125948984819464j),(-3.3699368514200113e-10+1.8357387750669657e-05j),(-2.4069482846122446e-15+4.9060659235402035e-08j),(-3.496789647750528e-21+5.913365917775196e-11j),(-2.0077116746651586e-27+4.480749574195325e-14j)
(0.08626993079133673+0j),(0.016459393820186637+0j),(0.014780590646676918-0.8970313487285649j),(0.0016787023054742186-0.5236799093481699j),(1.0086700278051796e-07-0.005240590599701102j),(1.03271606947502e-12-1.9840844837264352e-05j),(1.9923011320309102e-18-3.124779803199579e-08j),(1.4453803501946747e-24-2.942443206233957e-11j),(-0.0002714253725237283+0.016472756320387878j),(-1.0275692167557178e-05+0.0032055555801931827j),(-3.7045696561807293e-10+1.924725864846302e-05j),(-2.7092030020901404e-15+5.205000482315187e-08j),(-4.065098989671094e-21+6.375812881249805e-11j),(-2.4129488423403743e-27+4.9121775643194886e-14j)
(0.08698790218206622+0j),(0.018102746430355483+0j),(0.01636707465457537-0.9361391985858185j),(0.001735562929436836-0.528080012534023j),(1.0884520102529221e-07-0.005398969953274452j),(1.14224998025263e-12-2.06943059323662e-05j),(2.275195158965092e-18-3.31170655548882e-08j),(1.7059595910792952e-24-3.170311806449951e-11j),(-0.00030558253708416695+0.017478248092906684j),(-1.0801313703266184e-05+0.003286517463043285j),(-4.064402879649221e-10+2.016036427745611e-05j),(-3.0466361304772857e-15+5.519634164034131e-08j),(-4.719908880151989e-21+6.870159299573766e-11j),(-2.895566367830086e-27+5.381046708429584e-14j)
(0.08770587357279569+0j),(0.01995028872189782+0j),(0.018156298429180366-0.9778905678503406j),(0.0017938730271994004-0.5324826445397566j),(1.172642556024782e-07-0.005558009335924443j),(1.2624472869962393e-12-2.1577796406107983e-05j),(2.5954421119111356e-18-3.508151761642135e-08j),(2.0107776096703324e-24-3.4137350190020324e-11j),(-0.0003446072608352123+0.01856040157623191j),(-1.134926028747189e-05+0.0033688472036830066j),(-4.4513603997722396e-10+2.1098247315335885e-05j),(-3.423042762484638e-15+5.850677535537766e-08j),(-5.4735104143412326e-21+7.398317656292701e-11j),(-3.4695125817436396e-27+5.890256854962812e-14j)
(0.08842384496352516+0j),(0.02203377838430354+0j),(0.020179993786601822-1.0225550236400123j),(0.001853658444611494-0.5368879087248903j),(1.2615169595862356e-07-0.005717975315955199j),(1.3942628324091086e-12-2.249220704296268e-05j),(2.9576096316980986e-18-3.714517494199284e-08j),(2.3668880262503623e-24-3.673634342184826e-11j),(-0.0003893135982375983+0.019727190199311854j),(-1.1920295030918862e-05+0.003452557448831987j),(-4.867451516267037e-10+2.206230158867798e-05j),(-3.842599796852285e-15+6.19887070106505e-08j),(-6.3398194165013024e-21+7.962298296661149e-11j),(-4.151103603216825e-27+6.44290586864097e-14j)
(0.08914181635425464+0j),(0.02439106881857566+0j),(0.022475987918649947-1.0704399912229208j),(0.0019149453630022545-0.5412959120747165j),(1.355353847243234e-07-0.005879088427013012j),(1.5387312594675637e-12-2.34384588582115e-05j),(3.3667803169735726e-18-3.9312194552121755e-08j),(2.7823975746607086e-24-3.9509777101356155e-11j),(-0.00044067813430498284+0.02098770919102245j),(-1.2515201451405941e-05+0.0035376609251224988j),(-5.314781329194673e-10+2.3053809503789133e-05j),(-4.309902531621101e-15+6.564984791773003e-08j),(-7.334575479043412e-21+8.56421361191056e-11j),(-4.959400860615068e-27+7.042301371437513e-14j)
(0.08985978774498413+0j),(0.02706752908612574+0j),(0.025089623333950616-1.1218976305807031j),(0.0019777603067873475-0.5457067653318576j),(1.454436907995535e-07-0.00604153338852489j),(1.6969735408777403e-12-2.4417505262413848e-05j),(3.828604989428537e-18-4.1586873347621934e-08j),(3.2666128424754597e-24-4.2467814305017127e-11j),(-0.000499878746702375+0.022352379469331007j),(-1.3134783920766168e-05+0.0036241704427658374j),(-5.795560093105671e-10+2.4073969530899596e-05j),(-4.830004793559331e-15+6.949823590249832e-08j),(-8.475563508468197e-21+9.206282370462138e-11j),(-5.916644980798983e-27+7.691973076395277e-14j)
(0.0905777591357136+0j),(0.030117858972886265+0j),(0.02807557291392318-1.1773332649381707j),(0.002042130151463831-0.550120583133438j),(1.5590562904489007e-07-0.0062054667190327515j),(1.8702040959046993e-12-2.5430334497733855e-05j),(4.349360988544548e-18-4.397365177091545e-08j),(3.8302060226018565e-24-4.562112186662217e-11j),(-0.0005683443221837145+0.023833197580584022j),(-1.3779868123594103e-05+0.0037120988993867877j),(-6.312111908512565e-10+2.512391670207551e-05j),(-5.408462990184012e-15+7.354225309428575e-08j),(-9.782860118079392e-21+9.890834200450128e-11j),(-7.048753903077341e-27+8.395685739162311e-14j)
(0.09129573052644308+0j),(0.0336084287005441+0j),(0.03150017961549479-1.2372157848531142j),(0.0021080821320136472-0.5545374841541579j),(1.6695097591861937e-07-0.006371022486704374j),(2.059738563299554e-12-2.6477972388465786e-05j),(4.936015927483558e-18-4.647711754554883e-08j),(4.4854019569271004e-24-4.898089106142972e-11j),(-0.0006478190582413203+0.025444044267944114j),(-1.4451301528290058e-05+0.0038014592840347767j),(-6.866883002715885e-10+2.6204738117371974e-05j),(-6.051384525365386e-15+7.779064548752216e-08j),(-1.1279107430280064e-20+1.0620314228063151e-10j),(-8.385894092261489e-27+9.157452752955644e-14j)
